,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Write Off,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Otherunder Preferred Stock Dividend,Other Special Charges,Other Operating Expenses,Average Dilution Earnings,Selling And Marketing Expense,Gain On Sale Of Ppe,Impairment Of Capital Assets,Provision For Doubtful Accounts,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Income Statement,Preferred Stock Dividends,Other Taxes,Excise Taxes,Professional Expense And Contract Services Expense,Other Non Interest Expense,Rent Expense Supplemental,Rent And Landing Fees,Occupancy And Equipment,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2025-02-28,0.0,0.204,2714304000.0,,,1788075000.0,360861000.0,11684313000.0,2714304000.0,2353443000.0,11444000.0,64669000.0,76113000.0,1788075000.0,1788075000.0,14414587000.0,2244714000.0,634211978.0,626824946.0,2.82,2.85,1789760000.0,1788075000.0,1788075000.0,-34366000.0,1822441000.0,,1822441000.0,,466333000.0,2288774000.0,32616000.0,32616000.0,,,,,11444000.0,64669000.0,76113000.0,2244714000.0,2730274000.0,,2730274000.0,1053493000.0,1053493000.0,,4974988000.0,11684313000.0,16659301000.0,16659301000.0,ACN,,,,,,,,,1685000.0,1676781000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,0.0,0.216,3203710000.0,,,2278894000.0,218423000.0,11866716000.0,3203710000.0,2985287000.0,45985000.0,30042000.0,76027000.0,2278894000.0,2278894000.0,14741068000.0,2948477000.0,634656410.0,625676922.0,3.59,3.64,2281064000.0,2278894000.0,2278894000.0,-37296000.0,2316190000.0,,2316190000.0,,639055000.0,2955245000.0,-39217000.0,-39217000.0,,,,,45985000.0,30042000.0,76027000.0,2948477000.0,2874352000.0,,2874352000.0,1063243000.0,1063243000.0,,5822829000.0,11866716000.0,17689545000.0,17689545000.0,ACN,,,,,,,,,2170000.0,1811109000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,0.0,0.263185,2662666000.0,,,1684301000.0,307270000.0,11068363000.0,2662666000.0,2355396000.0,28482000.0,22835000.0,51317000.0,1684301000.0,1684301000.0,14052151000.0,2353668000.0,633883494.0,626122298.0,2.66,2.69,1685907000.0,1684301000.0,1684301000.0,-34365000.0,1718666000.0,,1718666000.0,,613895000.0,2332561000.0,-49589000.0,-49589000.0,,,,,28482000.0,22835000.0,51317000.0,2353668000.0,2983788000.0,,2877841000.0,1122569000.0,1122569000.0,,5337456000.0,11068363000.0,16405819000.0,16405819000.0,ACN,,,,,,,,105947000.0,1606000.0,1755272000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,0.0,0.254,2936933000.0,,,1932183000.0,271229000.0,10968377000.0,2936933000.0,2665704000.0,42356000.0,11334000.0,53690000.0,1932183000.0,1932183000.0,13835963000.0,2630865000.0,635607597.0,628353267.0,3.04,3.07,1934084000.0,1932183000.0,1932183000.0,-49165000.0,1981348000.0,,1981348000.0,,673022000.0,2654370000.0,-18851000.0,-18851000.0,,,,,42356000.0,11334000.0,53690000.0,2630865000.0,2867586000.0,,2790166000.0,1039800000.0,1039800000.0,,5498451000.0,10968377000.0,16466828000.0,16466828000.0,ACN,,,,,,,,77420000.0,1901000.0,1750366000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACN,,,,,,,,115409000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,,,424000000.0,423000000.0,4.18,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,400000.0,0.2,2376000000.0,2000000.0,2000000.0,1691000000.0,209000000.0,470000000.0,2378000000.0,2169000000.0,-68000000.0,68000000.0,,1689400000.0,1691000000.0,3764000000.0,2109000000.0,429000000.0,428000000.0,3.94,3.95,1691000000.0,1691000000.0,1691000000.0,,1691000000.0,,1691000000.0,,410000000.0,2101000000.0,60000000.0,58000000.0,0.0,,0.0,2000000.0,-68000000.0,68000000.0,,2109000000.0,3126000000.0,1082000000.0,2003000000.0,377000000.0,377000000.0,,5235000000.0,638000000.0,5873000000.0,5873000000.0,ADBE,,41000000.0,41000000.0,41000000.0,41000000.0,,,,,1626000000.0,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,1020000.0,0.17,2455000000.0,6000000.0,6000000.0,1811000000.0,217000000.0,446000000.0,2461000000.0,2244000000.0,-62000000.0,62000000.0,,1806020000.0,1811000000.0,3551000000.0,2163000000.0,438000000.0,436000000.0,4.14,4.15,1811000000.0,1811000000.0,1811000000.0,,1811000000.0,,1811000000.0,,371000000.0,2182000000.0,81000000.0,75000000.0,0.0,,0.0,6000000.0,-62000000.0,62000000.0,,2163000000.0,2929000000.0,1026000000.0,1862000000.0,367000000.0,367000000.0,,5092000000.0,622000000.0,5714000000.0,5714000000.0,ADBE,,41000000.0,41000000.0,41000000.0,41000000.0,,,,,1495000000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,-2475138.121547,0.154696,2275000000.0,-16000000.0,-16000000.0,1683000000.0,218000000.0,440000000.0,2259000000.0,2041000000.0,291000000.0,50000000.0,,1696524861.878453,1683000000.0,3649000000.0,1957000000.0,443000000.0,441000000.0,3.79,3.81,1683000000.0,1683000000.0,1683000000.0,,1683000000.0,,1683000000.0,,308000000.0,1991000000.0,-257000000.0,,0.0,,0.0,-16000000.0,291000000.0,50000000.0,,1957000000.0,3033000000.0,999000000.0,1992000000.0,456000000.0,456000000.0,,4990000000.0,616000000.0,5606000000.0,5606000000.0,ADBE,,42000000.0,42000000.0,42000000.0,42000000.0,,,,,1536000000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-08-31,2160000.0,0.18,2294000000.0,12000000.0,12000000.0,1684000000.0,213000000.0,384000000.0,2306000000.0,2093000000.0,-51000000.0,51000000.0,,1674160000.0,1684000000.0,3416000000.0,1992000000.0,448000000.0,445000000.0,3.76,3.78,1684000000.0,1684000000.0,1684000000.0,,1684000000.0,,1684000000.0,,358000000.0,2042000000.0,101000000.0,89000000.0,0.0,,0.0,12000000.0,-51000000.0,51000000.0,,1992000000.0,2862000000.0,1022000000.0,1797000000.0,366000000.0,366000000.0,,4854000000.0,554000000.0,5408000000.0,5408000000.0,ADBE,,43000000.0,43000000.0,43000000.0,43000000.0,,,,,1431000000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,720000.0,0.18,2181000000.0,4000000.0,4000000.0,1573000000.0,214000000.0,426000000.0,2185000000.0,1971000000.0,-41000000.0,41000000.0,,1569720000.0,1573000000.0,3424000000.0,1885000000.0,,,,,1573000000.0,1573000000.0,1573000000.0,,1573000000.0,,1573000000.0,,357000000.0,1930000000.0,86000000.0,82000000.0,0.0,,0.0,4000000.0,-41000000.0,41000000.0,,1885000000.0,2826000000.0,984000000.0,1800000000.0,355000000.0,355000000.0,,4711000000.0,598000000.0,5309000000.0,5309000000.0,ADBE,,42000000.0,42000000.0,42000000.0,42000000.0,,,,,1445000000.0,,,,,,,,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000.0,,,,,,,,,,,,,,,,,,,ADBE,,,,,,,1000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
